node_id,bandwidth,latency,signal_strength,uptime
Node_1,68.72700594236812,48.783385110582344,80.62858371373468,0.9908265885966654
Node_2,97.53571532049581,41.00531293444458,92.72820822527561,0.9239561890666973
Node_3,86.59969709057026,47.579957662567566,86.28711962152653,0.9144894872091224
Node_4,79.93292420985183,45.79309401710595,90.17141382329406,0.9489452760277564
Node_5,57.80093202212183,33.915999152443405,98.15132947852186,0.9985650454110601
Node_6,57.79972601681013,46.87496940092467,84.9858445829775,0.92420552715115
Node_7,52.90418060840997,13.53970008207678,88.2076584607126,0.9672135547405879
Node_8,93.30880728874675,17.83931449676581,95.11102277086097,0.9761619615328718
Node_9,80.05575058716045,11.809091556421523,84.57596330983245,0.92376375439924
Node_10,85.40362888980228,23.013213230530575,81.53959819657587,0.972821634861186
Node_11,51.029224714790125,25.54709158757928,85.79502905827536,0.9367783132719253
Node_12,98.49549260809971,20.853961270955836,83.22442574508008,0.9632305830593579
Node_13,91.62213204002109,43.14950036607718,98.59395304685145,0.9633529710760895
Node_14,60.61695553391381,24.270133067743572,96.16240759128834,0.9535774684074758
Node_15,59.09124836035503,21.23738038749523,92.66807513020846,0.9090289770054408
Node_16,59.17022549267169,31.70784332632994,97.42921180375436,0.9835302495589238
Node_17,65.21211214797688,15.636968998990506,96.07344153798229,0.9320780064971737
Node_18,76.2378215816119,42.08787923016159,83.73140117772071,0.9186518510399855
Node_19,71.5972509321058,12.982025747190832,97.85117996979956,0.9040775141554764
Node_20,64.5614570099021,49.47547746402069,90.78684483831302,0.9590892943188242
Node_21,80.59264473611897,40.889790771866295,96.14880310328125,0.9677564361842282
Node_22,56.97469303260209,17.948627261366894,97.92182599846987,0.9016587828927857
Node_23,64.6072324267609,10.220884684944096,86.36006949943727,0.9512093058299281
Node_24,68.31809216468459,42.618457138193364,82.20103849055353,0.9226495775197938
Node_25,72.8034992108518,38.274293753904686,84.55870325083883,0.964517279040945
Node_26,89.25879806965068,39.160286721639494,88.54215577252512,0.9174366429004992
Node_27,59.98368910791799,40.85081386743783,96.36029531844986,0.9690937738102466
Node_28,75.71172192068059,12.961786069363615,97.21461166512687,0.9386735346300538
Node_29,79.62072844310212,24.338629141770905,80.13904261062382,0.9936729988736734
Node_30,52.32252063599989,14.634762381005189,90.21494605155132,0.9137520944145994
Node_31,80.37724259507192,44.52413703502374,88.34822006297559,0.9341066351050259
Node_32,58.526206184364575,34.93192507310232,84.4421562094146,0.9113473521240589
Node_33,53.25257964926398,23.235920994105967,82.39730734667366,0.9924693618278563
Node_34,97.44427686266667,12.542334011440946,86.75230342807257,0.9877339353380981
Node_35,98.28160165372796,22.439292868626488,98.85819407825039,0.9257941627715156
Node_36,90.41986740582306,23.007332881069882,86.4640586404151,0.9659984046034179
Node_37,65.23068845866854,39.18424713352256,90.37581243486733,0.9817222200201215
Node_38,54.883605700319194,35.502298854208526,94.06037917790356,0.9555200811599462
Node_39,84.21165132560785,45.48850970305306,87.27259204758587,0.9529650578356007
Node_40,72.00762468698007,28.888597006477973,99.43564165441921,0.9241852290900452
Node_41,56.10191174223894,14.783769837532068,99.24894589884222,0.90931027678059
Node_42,74.75884550556351,38.5297914889198,85.03564591650728,0.9897215757953327
Node_43,51.71942605576092,40.4314019446759,89.9449701178477,0.990041805716333
Node_44,95.4660201039391,32.45108790277985,86.0175661963354,0.9633101457273268
Node_45,62.93899908000085,40.83868719818244,85.69680988754935,0.9339029791048701
Node_46,83.1261142176991,29.75182385457563,80.73773894709066,0.9349209574612661
Node_47,65.58555380447055,30.909313175279763,92.19128667959794,0.972595567887024
Node_48,76.00340105889055,27.101640734341984,90.05358046457724,0.9897110259952577
Node_49,77.33551396716399,11.016765069763807,81.02957502499979,0.9887086424265117
Node_50,59.24272277627635,14.315657079732178,85.57292928473223,0.9779875545857624
